id,ts,class
320,2010-06-08T2:09:36.000Z,2
320,2010-06-08T2:09:36.000Z,2
320,2010-06-08T2:09:36.000Z,2
320,2010-06-08T2:22:52.000Z,2
320,2010-06-08T2:27:42.000Z,2
320,2010-06-08T2:27:42.000Z,2
320,2010-06-08T2:27:42.000Z,2
320,2010-06-08T2:37:56.000Z,2
320,2010-06-08T2:37:56.000Z,2
320,2010-06-08T2:37:56.000Z,2
320,2010-06-08T2:37:56.000Z,2
320,2010-06-08T2:37:56.000Z,2
320,2010-06-08T3:19:41.000Z,2
320,2010-06-08T3:19:41.000Z,2
320,2010-06-08T3:19:41.000Z,2
320,2010-06-08T3:48:34.000Z,2
320,2010-06-08T3:48:34.000Z,2
320,2010-06-08T3:48:34.000Z,2
320,2010-06-08T3:48:34.000Z,2
320,2010-06-08T3:48:34.000Z,2
320,2010-06-08T4:47:41.000Z,2
320,2010-06-08T4:47:41.000Z,2
320,2010-06-08T4:47:41.000Z,2
320,2010-06-08T4:47:41.000Z,2
320,2010-06-08T4:47:41.000Z,2
320,2010-06-08T5:07:45.000Z,2
320,2010-06-08T5:07:45.000Z,2
320,2010-06-08T5:07:45.000Z,2
320,2010-06-08T5:22:58.000Z,2
320,2010-06-08T5:22:58.000Z,2
320,2010-06-08T5:22:58.000Z,2
320,2010-06-08T5:33:16.000Z,2
320,2010-06-08T5:33:16.000Z,2
320,2010-06-08T5:33:16.000Z,2
320,2010-06-08T5:44:04.000Z,2
320,2010-06-08T5:44:04.000Z,2
320,2010-06-08T5:44:04.000Z,2
320,2010-06-08T5:54:10.000Z,2
320,2010-06-08T5:54:10.000Z,2
320,2010-06-08T5:54:10.000Z,2
320,2010-06-08T5:54:10.000Z,2
320,2010-06-08T5:54:10.000Z,2
320,2010-06-08T5:59:11.000Z,2
320,2010-06-08T5:59:11.000Z,2
320,2010-06-08T5:59:11.000Z,2
320,2010-06-08T6:04:52.000Z,2
320,2010-06-08T6:04:52.000Z,2
320,2010-06-08T6:04:52.000Z,2
320,2010-06-08T6:10:01.000Z,2
320,2010-06-08T6:10:01.000Z,2
320,2010-06-08T6:10:01.000Z,2
320,2010-06-08T7:13:37.000Z,2
320,2010-06-08T7:13:37.000Z,2
320,2010-06-08T7:13:37.000Z,2
320,2010-06-08T7:13:37.000Z,2
320,2010-06-08T7:13:37.000Z,2
320,2010-06-08T7:23:46.000Z,2
320,2010-06-08T7:23:46.000Z,2
320,2010-06-08T7:23:46.000Z,2
320,2010-06-08T2:42:55.000Z,3
320,2010-06-08T2:42:55.000Z,3
320,2010-06-08T2:42:55.000Z,3
320,2010-06-08T2:42:55.000Z,3
320,2010-06-08T2:42:55.000Z,3
320,2010-06-08T2:48:33.000Z,3
320,2010-06-08T2:48:33.000Z,3
320,2010-06-08T2:48:33.000Z,3
320,2010-06-08T2:54:06.000Z,3
320,2010-06-08T2:54:06.000Z,3
320,2010-06-08T2:54:06.000Z,3
320,2010-06-08T2:54:06.000Z,3
320,2010-06-08T2:54:06.000Z,3
320,2010-06-08T2:59:13.000Z,3
320,2010-06-08T2:59:13.000Z,3
320,2010-06-08T2:59:13.000Z,3
320,2010-06-08T3:09:17.000Z,3
320,2010-06-08T3:09:17.000Z,3
320,2010-06-08T3:09:17.000Z,3
320,2010-06-08T3:14:12.000Z,3
320,2010-06-08T3:14:12.000Z,3
320,2010-06-08T3:14:12.000Z,3
320,2010-06-08T3:24:38.000Z,3
320,2010-06-08T3:24:38.000Z,3
320,2010-06-08T3:24:38.000Z,3
320,2010-06-08T3:24:38.000Z,3
320,2010-06-08T3:24:38.000Z,3
320,2010-06-08T3:30:20.000Z,3
320,2010-06-08T3:30:20.000Z,3
320,2010-06-08T3:30:20.000Z,3
320,2010-06-08T3:30:20.000Z,3
320,2010-06-08T3:30:20.000Z,3
320,2010-06-08T3:56:19.000Z,3
320,2010-06-08T3:56:19.000Z,3
320,2010-06-08T3:56:19.000Z,3
320,2010-06-08T3:56:19.000Z,3
320,2010-06-08T3:56:19.000Z,3
320,2010-06-08T4:01:23.000Z,3
320,2010-06-08T4:01:23.000Z,3
320,2010-06-08T4:01:23.000Z,3
320,2010-06-08T4:06:48.000Z,3
320,2010-06-08T4:06:48.000Z,3
320,2010-06-08T4:06:48.000Z,3
320,2010-06-08T4:06:48.000Z,3
320,2010-06-08T4:06:48.000Z,3
320,2010-06-08T4:12:18.000Z,3
320,2010-06-08T4:12:18.000Z,3
320,2010-06-08T4:12:18.000Z,3
320,2010-06-08T4:17:17.000Z,3
